base_slug,variant_slugs,name,types,sets,legal_heroes,legal_formats,keywords,implemented_by_registry,implemented_by_manual_trigger,has_functional_text,parseable_by_text_parser,in_generated_decks,priority_tier,priority_score,implementation_bucket
sink_below,sink_below_blue|sink_below_red|sink_below_yellow,Sink Below,DefenseReaction,ArmoryDeckBoltyn|ArmoryDeckIra|DromaiBlitzDeck|HistoryPack1|Promos|WelcomeToRathe,Arakni|Aurora|Aurora2|Azalea|Benji|Betsy|Blaze|Bolfar|Boltyn|Bravo|Brevant|Briar|Broscilio|Brutus|Chane|Cindra|Crackni|Crix|Dash|DataDoll|Dorinthea|Dromai|Emperor|Enigma|Fai|Fang|Florian|Frankie|Genis|GravyBones|Hala|Ira|Iyslander|Jarl|Kano|Kassai|Katsu|Kavdaen|Kayo|Kox|Levia|Lexi|Librarian|Lyath|Marlynn|Maxx|Melody|Nuu|Oldhim|Olympia|Oscilio|Pleiades|Prism|Puffin|RKO|Reya|Rhinar|Riptide|Ruudi|Scurv|Shiyana|Slippy|Squizzy|Starvo|Taipanis|Taylor|Teklovossen|Terra|Theryon|Tuffnut|Uzuri|Valda|Verdance|Victor|Viserai|Vynnset|Yoji|Yorick|Zen|Zyggy,Blitz|ClassicConstructed|Draft|LivingLegend|Open|Sealed|UltimatePitFight,,False,False,True,True,True,P0,170,template_expandable
snatch,snatch_blue|snatch_red|snatch_yellow,Snatch,Action,ArmoryDeckAurora|ArmoryDeckBoltyn|ArmoryDeckIra|FaiSilverAgeDeck|HistoryPack1|Promos|WelcomeToRathe,Arakni|Aurora|Aurora2|Azalea|Benji|Betsy|Blaze|Bolfar|Boltyn|Bravo|Brevant|Briar|Broscilio|Brutus|Chane|Cindra|Crackni|Crix|Dash|DataDoll|Dorinthea|Dromai|Emperor|Enigma|Fai|Fang|Florian|Frankie|Genis|GravyBones|Hala|Ira|Iyslander|Jarl|Kano|Kassai|Katsu|Kavdaen|Kayo|Kox|Levia|Lexi|Librarian|Lyath|Marlynn|Maxx|Melody|Nuu|Oldhim|Olympia|Oscilio|Pleiades|Prism|Puffin|RKO|Reya|Rhinar|Riptide|Ruudi|Scurv|Shiyana|Slippy|Squizzy|Starvo|Taipanis|Taylor|Teklovossen|Terra|Theryon|Tuffnut|Uzuri|Valda|Verdance|Victor|Viserai|Vynnset|Yoji|Yorick|Zen|Zyggy,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,True,P0,170,template_expandable
bite,bite_blue|bite_red|bite_yellow,Bite,Action,ArakniWebOfDeceitBlitzDeck|TheHunted,Arakni|Crackni|Nuu|Slippy|Uzuri,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,Stealth,False,False,True,True,True,P0,155,template_expandable
bleed_out,bleed_out_blue|bleed_out_red|bleed_out_yellow,Bleed Out,Action,BenjiBlitzDeck|Outsiders,Arakni|Benji|Cindra|Crackni|Fai|Ira|Katsu|Nuu|Slippy|Uzuri|Zen,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,GoAgain,False,False,True,True,True,P0,155,template_expandable
fate_foreseen,fate_foreseen_blue|fate_foreseen_red|fate_foreseen_yellow,Fate Foreseen,DefenseReaction,ArcaneRising|HistoryPack1|Promos,Arakni|Aurora|Aurora2|Azalea|Benji|Betsy|Blaze|Bolfar|Boltyn|Bravo|Brevant|Briar|Broscilio|Brutus|Chane|Cindra|Crackni|Crix|Dash|DataDoll|Dorinthea|Dromai|Emperor|Enigma|Fai|Fang|Florian|Frankie|Genis|GravyBones|Hala|Ira|Iyslander|Jarl|Kano|Kassai|Katsu|Kavdaen|Kayo|Kox|Levia|Lexi|Librarian|Lyath|Marlynn|Maxx|Melody|Nuu|Oldhim|Olympia|Oscilio|Pleiades|Prism|Puffin|RKO|Reya|Rhinar|Riptide|Ruudi|Scurv|Shiyana|Slippy|Squizzy|Starvo|Taipanis|Taylor|Teklovossen|Terra|Theryon|Tuffnut|Uzuri|Valda|Verdance|Victor|Viserai|Vynnset|Yoji|Yorick|Zen|Zyggy,Blitz|ClassicConstructed|Draft|LivingLegend|Open|Sealed|UltimatePitFight,Opt,False,False,True,True,True,P0,155,template_expandable
hurl,hurl_blue|hurl_red|hurl_yellow,Hurl,Action,ArakniBlitzDeck|Outsiders,Arakni|Benji|Cindra|Crackni|Fai|Ira|Katsu|Nuu|Slippy|Uzuri|Zen,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,GoAgain,False,False,True,True,True,P0,155,template_expandable
infect,infect_blue|infect_red|infect_yellow,Infect,Action,ArakniBlitzDeck|ArakniSilverAgeDeck|ArmoryDeckArakni|Outsiders|UzuriBlitzDeck,Arakni|Crackni|Nuu|Slippy|Uzuri,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,Stealth,False,False,True,True,True,P0,155,template_expandable
isolate,isolate_blue|isolate_red|isolate_yellow,Isolate,Action,ArakniBlitzDeck|Outsiders|UzuriBlitzDeck,Arakni|Crackni|Nuu|Slippy|Uzuri,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,Dominate|Stealth,False,False,True,True,True,P0,155,template_expandable
ravenous_rabble,ravenous_rabble_blue|ravenous_rabble_red|ravenous_rabble_yellow,Ravenous Rabble,Action,ArcaneRising|ArmoryDeckAzalea|AzaleaBlitzDeck|AzaleaSilverAgeDeck|DromaiBlitzDeck|HighSeas|HistoryPack1|Outsiders|Promos|RiptideBlitzDeck,Arakni|Aurora|Aurora2|Azalea|Benji|Betsy|Blaze|Bolfar|Boltyn|Bravo|Brevant|Briar|Broscilio|Brutus|Chane|Cindra|Crackni|Crix|Dash|DataDoll|Dorinthea|Dromai|Emperor|Enigma|Fai|Fang|Florian|Frankie|Genis|GravyBones|Hala|Ira|Iyslander|Jarl|Kano|Kassai|Katsu|Kavdaen|Kayo|Kox|Levia|Lexi|Librarian|Lyath|Marlynn|Maxx|Melody|Nuu|Oldhim|Olympia|Oscilio|Pleiades|Prism|Puffin|RKO|Reya|Rhinar|Riptide|Ruudi|Scurv|Shiyana|Slippy|Squizzy|Starvo|Taipanis|Taylor|Teklovossen|Terra|Theryon|Tuffnut|Uzuri|Valda|Verdance|Victor|Viserai|Vynnset|Yoji|Yorick|Zen|Zyggy,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,GoAgain,False,False,True,True,True,P0,155,template_expandable
arakni,arakni,Arakni,Hero,ArakniBlitzDeckARK|Dynasty|Promos|TheHunted,Arakni,Blitz|Clash|Open|SilverAge|UltimatePitFight,,False,False,True,False,True,P0,145,manual_custom
